brand_name,truth_score,current_status,reason_for_low_score,estimated_real_world_confidence,google_maps_match,uber_eats_match,foodpanda_match,official_website_match,wikipedia_match,recommended_action
一之軒,20,quarantine,missing_brand_registry; missing_google_maps_signal; missing_official_website; no_delivery_or_xval; phase1_score_below_40; auto_quarantine,75 (high),confirmed_offline,likely,likely,confirmed_offline,likely,add_registry_and_keep
一日樂食,40,manual_review,missing_brand_registry; missing_google_maps_signal; missing_official_website; flagged_manual_review,60 (medium),no,corpus_delivery,no,no,no,manual_verify_keep
一月初,40,manual_review,missing_brand_registry; missing_google_maps_signal; missing_official_website; flagged_manual_review,60 (medium),no,corpus_delivery,no,no,no,manual_verify_keep
九如排骨,30,quarantine,missing_brand_registry; missing_google_maps_signal; missing_official_website; sparse_menu; phase1_score_below_40; auto_quarantine,65 (medium),confirmed_offline,likely,likely,likely,likely,manual_verify_keep
元味便當,20,quarantine,missing_brand_registry; missing_google_maps_signal; missing_official_website; no_delivery_or_xval; phase1_score_below_40; auto_quarantine,60 (medium),confirmed_offline,likely,likely,likely,likely,manual_verify_keep
少點鹹,40,manual_review,missing_brand_registry; missing_google_maps_signal; missing_official_website; flagged_manual_review,60 (medium),no,corpus_delivery,no,no,no,manual_verify_keep
丼丼屋,55,manual_review,missing_brand_registry; missing_google_maps_signal; missing_official_website; flagged_manual_review,100 (very_high),confirmed_offline,likely,corpus_delivery,confirmed_offline,likely,restore_keep
巨林美而美,50,manual_review,missing_google_maps_signal; missing_official_website; no_delivery_or_xval; flagged_manual_review,100 (very_high),confirmed_offline,no,no,likely,likely,restore_keep
石锅王,20,quarantine,missing_brand_registry; missing_google_maps_signal; missing_official_website; no_delivery_or_xval; phase1_score_below_40; auto_quarantine,65 (medium),confirmed_offline,likely,likely,likely,likely,manual_verify_keep
池上飯包,20,quarantine,missing_brand_registry; missing_google_maps_signal; missing_official_website; no_delivery_or_xval; phase1_score_below_40; auto_quarantine,60 (medium),confirmed_offline,likely,likely,likely,likely,manual_verify_keep
米藍餐盒,40,manual_review,missing_brand_registry; missing_google_maps_signal; missing_official_website; flagged_manual_review,60 (medium),no,no,corpus_delivery,no,no,manual_verify_keep
初雞,40,manual_review,missing_brand_registry; missing_google_maps_signal; missing_official_website; flagged_manual_review,60 (medium),no,corpus_delivery,no,no,no,manual_verify_keep
吳寶春,20,quarantine,missing_brand_registry; missing_google_maps_signal; missing_official_website; no_delivery_or_xval; phase1_score_below_40; auto_quarantine,75 (high),confirmed_offline,likely,likely,confirmed_offline,confirmed_offline,add_registry_and_keep
