rank,canonical_name,source_type,seed_priority,needs_cross_validation,confidence_level,menu_clusters,search_aliases,quarantine_exempt
1,7-11,convenience_store,P0,false,A,"飲料|飯糰|三明治|便當|熟食","7-ELEVEN|統一超商|seven eleven",true
2,全家,convenience_store,P0,false,A,"飲料|飯糰|三明治|便當|熟食","FamilyMart|familymart",true
3,萊爾富,convenience_store,P0,false,A,"飲料|飯糰|三明治|便當|熟食","Hi-Life|hilife",true
4,OK超商,convenience_store,P0,false,A,"飲料|飯糰|三明治|便當|熟食","OK mart|OK Mart|okmart",true
5,全聯,supermarket,P0,false,A,"熟食|沙拉|便當|烘焙|飲料","全聯福利中心|PX Mart|pxmart",true
6,家樂福,supermarket,P0,false,A,"熟食|沙拉|便當|烘焙|飲料","Carrefour|carrefour",true
7,Costco,supermarket,P0,false,A,"熟食|沙拉|便當|烘焙|飲料","好市多|好市多熟食",true
8,愛買,supermarket,P0,false,A,"熟食|沙拉|便當|烘焙|飲料",,true
9,大潤發,supermarket,P0,false,A,"熟食|沙拉|便當|烘焙|飲料",,true
10,美廉社,convenience_store,P0,false,A,"飲料|飯糰|三明治|便當|熟食",Simple Mart,true
11,麥當勞,chain_restaurant,P0,false,A,"漢堡|薯條|早餐|雞塊|飲料","McDonald's|Mcdonalds|McDonald",true
12,肯德基,chain_restaurant,P0,false,A,"炸雞|漢堡|蛋塔|套餐|飲料","KFC|kfc",true
13,漢堡王,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料","Burger King|必艾客",true
14,摩斯漢堡,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料","MOS|MOS Burger",true
15,Subway,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料","SUBWAY|Subway美式潛艇堡",true
16,丹丹漢堡,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料",丹丹漢堡七賢店,true
17,頂呱呱,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料",,true
18,拿坡里,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料",,true
19,必勝客,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料",,true
20,達美樂,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料",,true
21,八方雲集,chain_restaurant,P0,false,A,"鍋貼|水餃|酸辣湯|麵食|飲料",,true
22,四海遊龍,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料",,true
23,三商巧福,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料",,true
24,鬍鬚張,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料",,true
25,吉野家,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料",,true
26,SUKIYA,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料","Sukiya|すき家",true
27,大戶屋,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料",,true
28,YAYOI彌生軒,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料","彌生軒|YAYOI",true
29,SUKIYA,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料","すき家|Sukiya",true
30,丸龜製麵,chain_restaurant,P0,false,A,"烏龍麵|天婦羅|釜玉|副食|飲料",,true
31,藏壽司,chain_restaurant,P0,false,A,"迴轉壽司|握壽司|副食|甜點|飲料",,true
32,壽司郎,chain_restaurant,P0,false,A,"迴轉壽司|握壽司|副食|甜點|飲料",,true
33,爭鮮迴轉壽司,chain_restaurant,P0,false,A,"迴轉壽司|握壽司|副食|甜點|飲料","爭鮮|爭鮮PLUS|爭鮮plus",true
34,合點壽司,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料",,true
35,金子半之助,chain_restaurant,P0,false,A,"套餐|定食|主食|小菜|飲料",,true
