id,original_name,canonical_name,branch_name,source_type,city,address,truth_score,confidence_level,verification_sources,keep_status,delete_reason,merge_target,needs_manual_review,item_count
store_7-11,7-11,7-11,,convenience_store,,,100,A,brand_registry|google_maps_proxy_chain_tier|official_website_xval|xval_validated|social_official_proxy|menu_exists|name_consistent|protected_anchor|top300_allowlist,keep,,7-11,no,59
store_三商巧福,三商巧福,三商巧福,,chain_restaurant,,,100,A,brand_registry|google_maps_proxy_chain_tier|delivery_platform|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,三商巧福,no,51
store_瓦城,瓦城,瓦城,,chain_restaurant,,,100,A,brand_registry|google_maps_proxy_chain_tier|delivery_platform|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,瓦城,no,49
store_全家,全家,全家,,convenience_store,,,100,A,brand_registry|google_maps_proxy_chain_tier|xval_validated|social_official_proxy|searchable_name|menu_exists|name_consistent|protected_anchor|top300_allowlist,keep,,全家,no,59
store_吉野家,吉野家,吉野家,,chain_restaurant,,,100,A,brand_registry|google_maps_proxy_chain_tier|official_website_xval|delivery_platform|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,吉野家,no,39
store_肌肉海灘,肌肉海灘,肌肉海灘,,chain_restaurant,,,100,A,brand_registry|google_maps_proxy_chain_tier|delivery_platform|social_official_proxy|searchable_name|menu_exists|name_consistent,keep,,肌肉海灘,no,46
store_爭鮮迴轉壽司,爭鮮迴轉壽司,爭鮮迴轉壽司,,chain_restaurant,,,100,A,brand_registry|google_maps_proxy_chain_tier|official_website_xval|xval_validated|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,爭鮮迴轉壽司,no,49
store_肯德基,肯德基,肯德基,,chain_restaurant,,,100,A,brand_registry|google_maps_proxy_chain_tier|official_website_xval|xval_validated|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,肯德基,no,49
store_星巴克,星巴克,星巴克,,cafe,,,100,A,brand_registry|google_maps_proxy_chain_tier|xval_validated|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,星巴克,no,45
store_健人餐廚,健人餐廚,健人餐廚,,chain_restaurant,,,100,A,brand_registry|google_maps_proxy_chain_tier|xval_validated|delivery_platform|social_official_proxy|searchable_name|menu_exists|name_consistent,keep,,健人餐廚,no,47
store_麥當勞,麥當勞,麥當勞,,chain_restaurant,,,100,A,brand_registry|google_maps_proxy_chain_tier|official_website_xval|xval_validated|delivery_platform|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,麥當勞,no,60
store_路易莎,路易莎,路易莎,,cafe,,,100,A,brand_registry|google_maps_proxy_chain_tier|delivery_platform|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,路易莎,no,46
store_摩斯漢堡,摩斯漢堡,摩斯漢堡,,chain_restaurant,,,100,A,brand_registry|google_maps_proxy_chain_tier|official_website_xval|xval_validated|delivery_platform|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,摩斯漢堡,no,50
store_鬍鬚張,鬍鬚張,鬍鬚張,,chain_restaurant,,,100,A,brand_registry|google_maps_proxy_chain_tier|delivery_platform|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,鬍鬚張,no,48
store_subway,Subway,Subway,,chain_restaurant,,,100,A,brand_registry|google_maps_proxy_chain_tier|official_website_xval|xval_validated|delivery_platform|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,Subway,no,66
store_72度c舒肥健康餐,72度C舒肥健康餐,72度C舒肥健康餐,,chain_restaurant,,,95,A,brand_registry|google_maps_proxy_chain_tier|social_official_proxy|searchable_name|menu_exists|name_consistent,keep,,72度C舒肥健康餐,no,35
store_85度c,85度C,85度C,,cafe,,,95,A,brand_registry|google_maps_proxy_chain_tier|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,85度C,no,40
store_一沐日,一沐日,一沐日,,drink_shop,,,95,A,brand_registry|google_maps_proxy_chain_tier|social_official_proxy|searchable_name|menu_exists|name_consistent,keep,,一沐日,no,35
store_一蘭,一蘭,一蘭,,chain_restaurant,,,95,A,brand_registry|google_maps_proxy_chain_tier|social_official_proxy|searchable_name|menu_exists|name_consistent,keep,,一蘭,no,35
store_八方雲集,八方雲集,八方雲集,,chain_restaurant,,,95,A,brand_registry|google_maps_proxy_chain_tier|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,八方雲集,no,40
store_大心,大心,大心,,chain_restaurant,,,95,A,brand_registry|google_maps_proxy_chain_tier|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,大心,no,35
store_大戶屋,大戶屋,大戶屋,,chain_restaurant,,,95,A,brand_registry|google_maps_proxy_chain_tier|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,大戶屋,no,38
store_大潤發,大潤發,大潤發,,supermarket,,,95,A,brand_registry|google_maps_proxy_chain_tier|social_official_proxy|searchable_name|menu_exists|name_consistent|protected_anchor|top300_allowlist,keep,,大潤發,no,35
store_五十嵐,五十嵐,五十嵐,,drink_shop,,,95,A,brand_registry|google_maps_proxy_chain_tier|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,五十嵐,no,35
store_可不可,可不可,可不可,,drink_shop,,,95,A,brand_registry|google_maps_proxy_chain_tier|social_official_proxy|searchable_name|menu_exists|name_consistent|top300_allowlist,keep,,可不可,no,35
store_台灣夜市,台灣夜市,台灣夜市,,night_market,,,95,A,brand_registry|google_maps_proxy_chain_tier|social_official_proxy|searchable_name|menu_exists|name_consistent|night_market_virtual,keep,,台灣夜市,no,35
